"","facility_id","latitude","longitude","ancscore"
"70",10102,18.567,-72.29389,5
"71",10103,18.55362,-72.27596,3
"72",10105,18.56584,-72.30549,4
"73",10106,18.54861,-72.30616,5
"74",10107,18.5629,-72.27319,4
"75",10109,18.53266,-72.38508,4
"76",10110,18.53783,-72.40755,6
"77",10111,18.51828,-72.41267,7
"78",10112,18.53637,-72.40508,5
"79",10113,18.53146,-72.38675,5
"80",10115,18.52863,-72.41222,3
"81",10116,18.53765,-72.40946,6
"82",10117,18.52658,-72.4012,3
"83",10118,18.48136,-72.41361,2
"84",10119,18.54795,-72.41958,3
"85",10120,18.54789,-72.40011,4
"86",10121,18.52511,-72.40586,2
"87",10123,18.5324,-72.38871,4
"88",10124,18.53794,-72.40318,4
"89",10125,18.53166,-72.37529,6
"90",10126,18.54188,-72.40615,2
"91",10127,18.5374,-72.42022,5
"92",10128,18.5303,-72.41409,6
"93",10129,18.54184,-72.39832,0
"94",10130,18.53077,-72.39962,4
"95",10131,18.54254,-72.3934,8
"96",10132,18.5492,-72.40965,5
"97",10133,18.51238,-72.39722,3
"98",10135,18.46317,-72.2633,2
"99",10136,18.51351,-72.28588,5
"100",10137,18.49839,-72.3193,5
"101",10138,18.52405,-72.27233,6
"102",10139,18.51707,-72.28868,6
"103",10141,18.51861,-72.23702,4
"104",10148,18.51103,-72.28485,2
"105",10149,18.52354,-72.22662,3
"106",10150,18.52443,-72.28139,6
"107",10151,18.48591,-72.3129,4
"108",10153,18.52686,-72.28507,1
"109",10156,18.51019,-72.27264,4
"110",10157,18.50791,-72.26691,4
"111",10160,18.52638,-72.28982,5
"112",10161,18.50946,-72.29165,5
"113",10162,18.51573,-72.29165,6
"114",10164,18.44869,-72.28505,5
"115",10165,18.44134,-72.3462,4
"116",10166,18.46289,-72.28891,7
"117",10167,18.48001,-72.23957,3
"118",10168,18.43373,-72.26151,4
"119",10170,18.4181,-72.30489,2
"120",10171,18.47052,-72.25596,2
"121",10172,18.44756,-72.30594,1
"122",10174,18.45179,-72.20232,2
"123",10175,18.54288,-72.52442,1
"124",10176,18.52424,-72.55425,NA
"125",10177,18.53935,-72.49892,3
"126",10180,18.54203,-72.52954,7
"127",10181,18.54033,-72.45354,5
"128",10183,18.53238,-72.46776,3
"129",10187,18.52062,-72.5501,6
"130",10189,18.42116,-72.50642,3
"131",10190,18.49248,-72.58982,5
"132",10191,18.4267,-72.643,5
"133",10192,18.5135,-72.60971,5
"134",10193,18.50615,-72.62929,3
"135",10194,18.51277,-72.6065,2
"136",10195,18.51371,-72.60809,1
"137",10196,18.50743,-72.63128,6
"138",10197,18.54223,-72.57917,3
"139",10198,18.38871,-72.58448,4
"140",10199,18.36525,-72.65339,5
"141",10200,18.37169,-72.6238,3
"142",10201,18.517,-72.63773,5
"143",10203,18.50621,-72.62129,5
"144",10205,18.4621,-72.63912,5
"145",10207,18.39757,-72.63473,1
"146",10208,18.51643,-72.63278,5
"147",10209,18.50387,-72.58441,1
"148",10210,18.43428,-72.8649,4
"149",10211,18.42101,-72.93085,3
"150",10212,18.42101,-73.00174,3
"151",10213,18.39377,-73.02033,5
"152",10214,18.31218,-72.8679,6
"153",10215,18.30721,-72.94668,3
"154",10216,18.42189,-73.03749,7
"155",10217,18.41782,-72.8812,3
"156",10218,18.39218,-72.82203,1
"157",10220,18.43227,-72.86902,3
"158",10221,18.42727,-72.77119,4
"159",10222,18.34102,-72.70818,4
"160",10223,18.32132,-72.80486,2
"161",10224,18.3828,-72.74585,3
"162",10225,18.31337,-72.70823,3
"163",10226,18.56679,-72.15134,5
"164",10227,18.61174,-72.21275,1
"165",10228,18.57569,-72.22692,5
"166",10229,18.54266,-72.19247,5
"167",10230,18.58782,-72.17622,2
"168",10231,18.6125,-72.31007,5
"169",10232,18.536,-72.16661,4
"170",10233,18.59735,-72.25633,2
"171",10234,18.61527,-72.288,7
"172",10235,18.51668,-72.20282,6
"173",10236,18.58251,-72.22219,1
"174",10240,18.62108,-72.27889,7
"175",10242,18.58068,-72.22981,1
"176",10243,18.60949,-72.24034,5
"177",10244,18.61518,-72.2463,3
"178",10245,18.59827,-72.23966,4
"179",10246,18.52834,-72.13428,4
"180",10247,18.56559,-72.18326,5
"181",10248,18.6039,-72.26851,6
"182",10250,18.58268,-72.23314,6
"183",10251,18.57223,-72.22107,4
"184",10252,18.58177,-72.22136,3
"185",10253,18.59266,-72.23909,6
"186",10254,18.61445,-72.21321,5
"187",10255,18.62283,-72.21135,2
"188",10256,18.57029,-72.21191,7
"189",10258,18.653391,-72.093832,4
"190",10259,18.63237,-72.19181,4
"191",10261,18.5321,-72.06202,3
"192",10262,18.5864,-72.0781,3
"193",10264,18.52094,-71.98214,5
"194",10265,18.49209,-71.95186,5
"195",10266,18.45141,-71.94179,2
"196",10267,18.44549,-71.92901,1
"197",10269,18.58669,-72.07822,1
"198",10272,18.49981,-71.96147,7
"199",10273,18.67546,-71.95142,4
