"clusterid","birthorder","rural","facilitybirth","age","married","educat","wealth","pca","svyweight","latitude","longitude","xvar","yvar","surface_var"
23,4,1,0,40.416668,1,2,9.187,1.9322729,3554481,19.264518,-72.557979,-6310.62623534269,2140.9230519517,0.023002195201825
24,12,0,0,37.333332,1,0,0.2238,-0.61291748,1341498,19.704997,-72.40433,-6297.26283377339,2189.8747903238,15.1087515370906
24,1,0,0,17.583334,1,1,0.2238,0.30731231,1341498,19.704997,-72.40433,-6297.26283377339,2189.8747903238,15.1087515370906
24,1,0,0,21.833334,1,1,3.2661,0.5465129,1341498,19.704997,-72.40433,-6297.26283377339,2189.8747903238,15.1087515370906
24,1,0,0,18.916666,0,1,-0.9179,0.21754624,1341498,19.704997,-72.40433,-6297.26283377339,2189.8747903238,15.1087515370906
24,4,0,0,26.083334,0,1,-5.2789,-0.12533703,1341498,19.704997,-72.40433,-6297.26283377339,2189.8747903238,15.1087515370906
24,2,0,1,34.083332,1,3,16.2651,3.4090178,1341498,19.704997,-72.40433,-6297.26283377339,2189.8747903238,15.1087515370906
24,1,0,1,25.416666,1,2,10.9284,2.0691903,1341498,19.704997,-72.40433,-6297.26283377339,2189.8747903238,15.1087515370906
24,3,0,1,32.25,1,1,5.6412,0.73325491,1341498,19.704997,-72.40433,-6297.26283377339,2189.8747903238,15.1087515370906
24,2,0,0,26.75,1,1,2.3545,0.47483841,1341498,19.704997,-72.40433,-6297.26283377339,2189.8747903238,15.1087515370906
24,1,0,1,22.25,0,2,10.85,2.0630262,1341498,19.704997,-72.40433,-6297.26283377339,2189.8747903238,15.1087515370906
25,1,0,1,19.916666,1,1,1.5902,0.41474539,425605,18.547113,-72.404288,-6297.25918088358,2061.19570543385,16.2278483562929
25,1,0,1,20.166666,0,2,-0.5849,1.1639581,425605,18.547113,-72.404288,-6297.25918088358,2061.19570543385,16.2278483562929
25,1,0,1,17.75,0,1,-5.108,-0.11190003,425605,18.547113,-72.404288,-6297.25918088358,2061.19570543385,16.2278483562929
25,2,0,1,25.416666,1,3,-3.5956,1.8474718,425605,18.547113,-72.404288,-6297.25918088358,2061.19570543385,16.2278483562929
26,1,1,1,20.25,1,2,5.1831,1.6174667,775720,18.239311,-72.314523,-6289.45199865741,2026.98875578492,27.9211108393433
26,2,1,0,24.833334,0,2,4.8957,1.5948699,775720,18.239311,-72.314523,-6289.45199865741,2026.98875578492,27.9211108393433
27,1,0,0,16.333334,0,2,11.7084,2.1305177,648566,19.95048,-72.818185,-6333.25727927232,2217.15604457383,2.07138701673972
27,4,0,0,40.583332,1,0,10.2893,0.17848165,648566,19.95048,-72.818185,-6333.25727927232,2217.15604457383,2.07138701673972
28,2,1,0,30.416666,1,0,-10.7678,-1.4771311,853122,19.082369,-72.215572,-6280.84587724638,2120.68029306254,9.3544514494324e-17
28,4,1,0,30.75,1,1,-7.1401,-0.27167374,853122,19.082369,-72.215572,-6280.84587724638,2120.68029306254,9.3544514494324e-17
28,1,1,0,22.666666,0,0,-11.4469,-1.5305253,853122,19.082369,-72.215572,-6280.84587724638,2120.68029306254,9.3544514494324e-17
28,9,1,0,47.5,1,0,-12.6927,-1.6284763,853122,19.082369,-72.215572,-6280.84587724638,2120.68029306254,9.3544514494324e-17
30,4,1,0,34.166668,1,2,5.8242,1.667873,3538210,18.729765,-72.451159,-6301.3357189343,2081.49436420564,3.18599079508354e-08
30,2,1,1,37.666668,1,3,14.0773,3.2370021,3538210,18.729765,-72.451159,-6301.3357189343,2081.49436420564,3.18599079508354e-08
30,2,1,0,39,1,2,3.741,1.5040816,3538210,18.729765,-72.451159,-6301.3357189343,2081.49436420564,3.18599079508354e-08
30,2,1,0,25.833334,0,2,9.9226,1.9901094,3538210,18.729765,-72.451159,-6301.3357189343,2081.49436420564,3.18599079508354e-08
30,4,1,0,33.75,1,2,4.863,1.5922987,3538210,18.729765,-72.451159,-6301.3357189343,2081.49436420564,3.18599079508354e-08
30,2,1,0,18.916666,1,1,5.1501,0.69464225,3538210,18.729765,-72.451159,-6301.3357189343,2081.49436420564,3.18599079508354e-08
30,9,1,0,38.25,1,1,4.1688,0.61748761,3538210,18.729765,-72.451159,-6301.3357189343,2081.49436420564,3.18599079508354e-08
31,2,0,0,23.166666,1,1,-0.783,0.22815274,478779,18.339665,-74.388734,-6469.8535276779,2038.14139360101,1.47683939504538e-10
31,3,0,0,26.166666,1,1,-0.597,0.24277698,478779,18.339665,-74.388734,-6469.8535276779,2038.14139360101,1.47683939504538e-10
31,3,0,0,39.083332,1,0,-1.8028,-0.7722587,478779,18.339665,-74.388734,-6469.8535276779,2038.14139360101,1.47683939504538e-10
